hab,eir,pfpr2_10
7.1,0.406346461,0.03320125
7.1,0.986794129,0.061474311
7.1,0.440715177,0.038557817
7.1,0.520910409,0.04064424
7.1,1.223438675,0.073714457
7.2,0.737433251,0.049898917
7.2,1.422358633,0.082150101
7.2,0.739503051,0.057765677
7.2,0.472807182,0.041359048
7.2,0.951329088,0.066037296
7.3,1.682880329,0.095096565
7.3,2.184233463,0.113418546
7.3,1.105402046,0.068245657
7.3,1.258406562,0.074993452
7.3,2.366026043,0.113019591
7.4,2.316529851,0.109985463
7.4,2.131514356,0.104544932
7.4,1.512150117,0.084030112
7.4,1.818852669,0.094754586
7.4,2.627423196,0.110604015
7.5,2.546047177,0.112424803
7.5,2.391074859,0.112764213
7.5,1.880939809,0.100860956
7.5,1.996561382,0.103629034
7.5,2.797272574,0.121344202
7.6,2.507015892,0.109537264
7.6,4.150680348,0.153773052
7.6,2.356518437,0.114526862
7.6,2.217463626,0.107282753
7.6,4.177924672,0.155458992
7.7,4.540063029,0.156858459
7.7,5.875593522,0.176468838
7.7,3.592826676,0.138215363
7.7,3.788284919,0.142910689
7.7,5.38091781,0.170484856
7.8,5.627367572,0.168063243
7.8,7.945035872,0.199155456
7.8,4.979276895,0.160364424
7.8,5.259526532,0.163757048
7.8,7.744273334,0.198330323
7.9,5.711533047,0.167135154
7.9,7.726107772,0.195448058
7.9,5.722282744,0.183052448
7.9,5.642031071,0.17710276
7.9,9.320655026,0.215500453
8.1,12.2615143,0.242466364
8.1,13.60121509,0.260111665
8.1,8.616029185,0.221517375
8.1,9.387952573,0.221220193
8.1,13.38654039,0.251964075
8.3,17.82925894,0.276284202
8.3,19.14316044,0.285758962
8.3,15.93192604,0.264993319
8.3,14.40861147,0.25251293
8.3,19.71205871,0.286726554
8.5,27.34682,0.312496497
8.5,34.22482667,0.34267224
8.5,21.28955281,0.288483576
8.5,22.93759,0.297359913
8.5,25.99015741,0.316260486
8.7,58.64791037,0.398873474
8.7,52.45353924,0.390627782
8.7,39.58347071,0.373679915
8.7,51.69604721,0.384251277
8.7,55.70218222,0.400390442
