year,cov_newclin_youth
2000,0.05499127137626574
2001,0.04672409765168745
2002,0.03923614647935879
2003,0.03860526524609429
2004,0.051682297751305284
2005,0.08149642073198254
2006,0.12344915328699017
2007,0.1728318182885608
2008,0.2278886157292077
2009,0.2888394853088858
2010,0.3549953242420062
2011,0.41349008827865513
2012,0.4604168911597291
2013,0.5007991645458942
2014,0.5414963562036802
2015,0.5882473013752988
2016,0.628479888162368
2017,0.6494293659223751
2018,0.6599162320789241
2019,0.6597175175293759
2020,0.6566541485638769
